Id,SalePrice
1461,114211.26182706188
1462,158545.17202299478
1463,165385.81651640736
1464,192271.97677322375
1465,185322.17413559058
1466,170116.70165203174
1467,189028.19870528908
1468,165780.7974729475
1469,189765.95683678775
1470,117343.06551612052
1471,188048.1290361983
1472,105370.75709077748
1473,98350.92268553148
1474,147854.9790144194
1475,119084.95842752125
1476,342069.203335832
1477,237222.91604800406
1478,289091.98426345154
1479,278724.0006912752
1480,463889.00249909394
1481,300919.5311867449
1482,202493.6580712978
1483,172807.61345741802
1484,165880.33268845815
1485,198028.19216801345
1486,198880.246788412
1487,310100.18187720556
1488,230939.9966254853
1489,181351.15361935116
1490,225597.56909913468
1491,197583.8191023661
1492,88439.81025952629
1493,198969.64789153292
1494,290213.1177585759
1495,273693.71782345406
1496,220473.61568048314
1497,170455.3223995478
1498,162759.4180623481
1499,161575.35897865327
1500,159227.83768580746
1501,165717.39100003586
1502,154538.66396823255
1503,285496.4775787688
1504,244860.13927289887
1505,223026.23464715347
1506,197962.22181948507
1507,240194.49566393052
1508,195669.82874636143
1509,155577.91455494057
1510,136164.28475157937
1511,148679.77927569387
1512,175484.7864460101
1513,154662.6053822916
1514,142780.34676674605
1515,185408.15499599004
1516,151742.52188549621
1517,158805.79262679315
1518,132701.68973551563
1519,206918.18290169505
1520,127001.1688802751
1521,120143.97358423377
1522,182204.44066669673
1523,102425.30582255757
1524,119758.13323189097
1525,110020.31865105379
1526,100522.68603568854
1527,102706.75764650537
1528,147739.4517602013
1529,135783.91299152188
1530,196572.44261596075
1531,119738.74744826314
1532,106736.26174408311
1533,157080.73081097193
1534,131774.87181658973
1535,146028.30227438646
1536,113445.73945727521
1537,60102.08710867213
1538,136428.05289381542
1539,199965.99026571028
1540,88423.15394165974
1541,134470.17702566783
1542,132671.31997593085
1543,160897.58890830592
1544,90339.92420929157
1545,108763.99330944719
1546,139417.08266535186
1547,129318.08132171653
1548,128790.11450372425
1549,114035.33978594295
1550,127235.00673404256
1551,122820.019428061
1552,128736.62007252125
1553,134217.3620287222
1554,120475.13328616299
1555,154583.43728227855
1556,85255.08525947401
1557,89220.83519256304
1558,106995.76606274105
1559,74292.02798985245
1560,134205.44250171343
1561,116691.63136387941
1562,135926.41557120014
1563,117649.99628825247
1564,154562.28349949938
1565,132383.9427543543
1566,229596.39416735998
1567,80700.67456742645
1568,231375.71644423518
1569,119369.17751920094
1570,148471.8435274565
1571,114881.46636382226
1572,140316.85160781993
1573,224460.8596441182
1574,115116.48078586684
1575,220772.73066322427
1576,256033.02730113818
1577,181351.43466476703
1578,140053.99612393475
1579,129930.8669267557
1580,197134.8735199324
1581,160599.95136028514
1582,128179.42361745858
1583,297586.13101458544
1584,218896.5175730617
1585,144692.48047429978
1586,70764.74614292159
1587,103753.22191134011
1588,146874.54782492324
1589,93262.28120529963
1590,138174.825814187
1591,90051.98820857568
1592,115785.68912903735
1593,134049.27457375155
1594,127200.82329947004
1595,102121.6382291579
1596,198555.3031471237
1597,158978.74793805543
1598,198469.58979731024
1599,176581.22234582723
1600,175532.38484432548
1601,68927.22191791052
1602,117700.37117396953
1603,77364.79002527281
1604,258087.3650185772
1605,250813.64700957993
1606,169099.9716341323
1607,182299.5581895784
1608,227646.79559078763
1609,182232.74478209257
1610,148427.8848701947
1611,132382.63289509166
1612,170089.79273751852
1613,168498.87061102153
1614,140403.3745795483
1615,98563.86981416415
1616,82312.60345896578
1617,96946.2243397224
1618,120264.4710052162
1619,145729.65963451087
1620,154398.2741501551
1621,130123.67858137331
1622,153474.27978803052
1623,267501.15878149384
1624,208019.21353135316
1625,114979.30440482582
1626,174480.00091659874
1627,185538.11898198313
1628,279461.975351841
1629,170437.42143975527
1630,311275.10435297695
1631,215786.6053492271
1632,218681.83811618952
1633,177757.47375135103
1634,185821.40101226946
1635,185078.3258700898
1636,160267.57264720238
1637,198772.42609500155
1638,194384.41039467958
1639,179723.7461253727
